name,affiliation,homepage,scholarid,turing_award,acm_fellow,region,country,begin_time,end_time
Lei Yu 0002,Rensselaer Polytechnic Institute,https://leiyucs.github.io,zI4I51UAAAAJ,0,0,america,us,2003,2019.0
Leila Takayama,"University of California, Santa Cruz",http://www.leilatakayama.org,yFEHsv4AAAAJ,0,0,america,us,2008,2023.0
Leilani Battle,University of Washington,https://homes.cs.washington.edu/~leibatt/bio.html,9ghHK7sAAAAJ,0,0,america,us,2009,2021.0
Leilani H. Gilpin,"University of California, Santa Cruz",http://lgilpin.com,UFT_ijYAAAAJ,0,0,america,us,2007,2023.0
Lena Mashayekhy,University of Delaware,https://www.eecis.udel.edu/lena,b9gs2WYAAAAJ,0,0,america,us,2013,2020.0
Lennart Johnsson,University of Houston,http://www2.cs.uh.edu/~johnsson,Sm6LugIAAAAJ,0,0,america,us,2008,2021.0
Lenore Cowen,Tufts University,http://www.cs.tufts.edu/~cowen,TarR6_8AAAAJ,0,0,america,us,2008,2022.0
Lenwood S. Heath,Virginia Tech,http://www.cs.vt.edu/~heath,9VDFIQoAAAAJ,0,0,america,us,2009,2023.0
Leo Porter 0001,"University of California, San Diego",https://leoporter.ucsd.edu,2ITK0EUAAAAJ,0,0,america,us,2012,2021.0
Leon Bergen,"University of California, San Diego",http://ling.ucsd.edu/people/faculty/profiles/LeonBergen.html,0FclEuAAAAAJ,0,0,america,us,2005,2020.0
Leonid A. Levin,Boston University,http://www.cs.bu.edu/~lnd,qe_J1w4AAAAJ,0,0,america,us,2007,2021.0
Leonid Reyzin,Boston University,https://www.cs.bu.edu/~reyzin,1KRXBIwAAAAJ,0,0,america,us,2016,2020.0
Leonidas J. Guibas,Stanford University,http://geometry.stanford.edu/member/guibas,5JlEyTAAAAAJ,0,1,america,us,2007,2022.0
Lerrel Pinto,New York University,https://cs.nyu.edu/~lp91,pmVPj94AAAAJ,0,0,america,us,2013,2023.0
Les A. Piegl,University of South Florida,http://www.piegl.com,yvA23lcAAAAJ,0,0,america,us,2007,2021.0
Leslie G. Valiant,Harvard University,http://people.seas.harvard.edu/~valiant,H509xdsAAAAJ,1,1,america,us,2004,
Leszek Lilien,Western Michigan University,https://cs.wmich.edu/llilien,5iB3-eMAAAAJ,0,0,america,us,2003,2021.0
Levent Burak Kara,Carnegie Mellon University,http://vdel.me.cmu.edu,_X2eOeQAAAAJ,0,0,america,us,2000,2021.0
Levent Yilmaz,Auburn University,http://www.eng.auburn.edu/~yilmaz,uPBKJewAAAAJ,0,0,america,us,2005,
Lewis Tseng,Boston College,https://sites.google.com/site/lewiscytseng/home,v80SHFMAAAAJ,0,0,america,us,2012,
Leysia Palen,University of Colorado Boulder,http://cmci.colorado.edu/~palen,x0OsogEAAAAJ,0,0,america,us,2014,2021.0
Li Fei-Fei 0001,Stanford University,http://vision.stanford.edu/feifeili,rDfyQnIAAAAJ,0,0,america,us,2003,
Li Liao,University of Delaware,https://www.eecis.udel.edu/~lliao,o6e8dvUAAAAJ,0,0,america,us,2008,2020.0
Li Xiong 0001,Emory University,https://cs.emory.edu/~lxiong,jJ8BLgsAAAAJ,0,0,america,us,2005,2022.0
Li Zhang 0039,Drexel University,https://zharry29.github.io,_VLzlBIAAAAJ,0,0,america,us,2005,
Li-San Wang,University of Pennsylvania,http://tesla.pcbi.upenn.edu/~lswang,ncxi_G4AAAAJ,0,0,america,us,2012,2023.0
Liang Cheng 0001,Lehigh University,http://liangcheng.info,7_2bG-YAAAAJ,0,0,america,us,2018,
Liang Huang 0001,Oregon State University,http://eecs.oregonstate.edu/~huanlian,AdFeG5cAAAAJ,0,0,america,us,2012,2022.0
Liang Zhao 0002,Emory University,https://cs.emory.edu/~lzhao41,qnvyqtwAAAAJ,0,0,america,us,2017,2021.0
Lianhui Qin,"University of California, San Diego",https://sites.google.com/view/lianhuiqin/home,smd19iIAAAAJ,0,0,america,us,2013,2021.0
Lichao Sun 0001,Lehigh University,https://www.cs.uic.edu/~lsun,WhGUE7AAAAAJ,0,0,america,us,2017,2021.0
Lifang He 0001,Lehigh University,https://engineering.lehigh.edu/faculty/lifang-he,obgTcyoAAAAJ,0,0,america,us,2002,2022.0
Lifu Huang,"University of California, Davis",https://cs.ucdavis.edu/people/lifu-huang,76IEGtYAAAAJ,0,0,america,us,2002,2019.0
Lihao Xu,Wayne State University,http://www.cs.wayne.edu/~lihao,Q1QN1qYAAAAJ,0,0,america,us,2008,2022.0
Lijun Chen 0001,University of Colorado Boulder,http://spot.colorado.edu/~lich1539,p0rj1lEAAAAJ,0,0,america,us,2000,2022.0
Lili Qiu,University of Texas at Austin,https://www.cs.utexas.edu/~lili,16posrQAAAAJ,0,1,america,us,2008,
Liliana Florea,Johns Hopkins University,http://florealab.org,s0AZ_6IAAAAJ,0,0,america,us,2005,2020.0
Lillian Lee,Cornell University,http://www.cs.cornell.edu/home/llee,oJESe-cAAAAJ,0,1,america,us,2000,2022.0
Lilly Irani,"University of California, San Diego",https://quote.ucsd.edu/lirani,FGWYdYUAAAAJ,0,0,america,us,2000,2021.0
Lily Weng,"University of California, San Diego",https://datascience.ucsd.edu/people/lily-weng,v8GM4xoAAAAJ,0,0,america,us,2004,2021.0
Liming Cai,University of Georgia,http://cobweb.cs.uga.edu/~cai,xj8uYUUAAAAJ,0,0,america,us,2017,2020.0
